Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,Customer_Days,marital_Divorced,marital_Married,marital_Single,marital_Together,marital_Widow,education_2n_Cycle,education_Basic,education_Graduation,education_Master,education_PhD,MntTotal,MntRegularProds,AcceptedCmpOverall,ID,Year_Birth,Dt_Customer
65808,1,1,1,155,7,80,13,7,10,3,5,1,5,6,0,0,0,0,0,0,3,11,0,49,2189,1,0,0,0,0,0,0,0,0,1,262,252,0,8890,1971,2014-05-30 00:00:00.0000000
66465,0,1,1,1200,0,204,38,29,14,3,11,9,12,6,0,0,0,1,0,0,3,11,0,65,2615,0,1,0,0,0,0,0,0,0,1,1471,1457,1,7030,1955,2013-03-30 00:00:00.0000000
66991,0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,3,11,0,66,2815,0,1,0,0,0,0,0,0,1,0,1241,1229,0,1402,1954,2012-09-11 00:00:00.0000000
72967,0,1,1,158,35,179,0,0,125,2,7,2,8,5,1,0,0,0,0,0,3,11,1,50,2720,1,0,0,0,0,0,0,1,0,0,372,247,1,340,1970,2012-12-15 00:00:00.0000000
73170,0,0,1,184,174,256,50,30,32,1,5,4,6,2,0,0,0,0,0,0,3,11,0,45,2188,0,0,1,0,0,0,0,1,0,0,694,662,0,9687,1975,2014-05-31 00:00:00.0000000
74806,0,1,1,670,9,249,0,28,9,2,5,4,5,4,0,0,0,0,0,0,3,11,0,55,2716,0,1,0,0,0,0,0,0,1,0,956,947,0,5114,1965,2012-12-19 00:00:00.0000000
79529,0,0,1,423,42,706,73,197,197,1,4,8,9,2,0,0,0,0,0,0,3,11,0,34,2222,0,1,0,0,0,0,0,1,0,0,1441,1244,0,9264,1986,2014-04-27 00:00:00.0000000
81698,0,0,1,709,45,115,30,160,45,1,8,2,5,5,0,0,0,1,0,0,3,11,1,37,2644,0,0,1,0,0,1,0,0,0,0,1059,1014,1,1524,1983,2013-03-01 00:00:00.0000000
84865,0,0,1,1248,16,349,43,16,16,1,2,4,9,4,0,1,1,1,1,0,3,11,1,59,2575,0,0,1,0,0,0,0,0,0,1,1672,1656,4,3725,1961,2013-05-09 00:00:00.0000000
95169,0,0,1,1285,21,449,106,20,20,1,4,3,4,1,0,0,1,1,0,0,3,11,1,33,2422,0,0,1,0,0,0,0,0,0,1,1881,1861,2,7962,1987,2013-10-09 00:00:00.0000000
16653,1,0,10,5,7,31,15,4,7,3,2,1,3,6,0,0,0,0,0,0,3,11,1,41,2231,0,0,1,0,0,0,0,0,1,0,62,55,0,2634,1979,2014-04-18 00:00:00.0000000
17256,1,0,10,6,4,14,8,8,22,2,2,1,2,8,1,0,0,0,0,0,3,11,0,28,2377,0,1,0,0,0,0,1,0,0,0,40,18,1,1384,1992,2013-11-23 00:00:00.0000000
25130,1,0,10,2,5,7,0,18,18,2,2,0,3,7,0,0,0,0,0,0,3,11,0,40,2429,0,0,0,1,0,1,0,0,0,0,32,14,0,11003,1980,2013-10-02 00:00:00.0000000
26850,1,1,10,31,1,13,7,2,9,4,2,1,4,4,0,0,0,0,0,0,3,11,0,49,2231,0,0,0,1,0,1,0,0,0,0,54,45,0,8036,1971,2014-04-18 00:00:00.0000000
26907,1,1,10,9,1,7,0,3,2,2,1,0,3,7,0,0,0,0,0,0,3,11,0,44,2472,0,0,0,1,0,1,0,0,0,0,20,18,0,8702,1976,2013-08-20 00:00:00.0000000
28072,1,0,10,30,0,10,2,0,5,1,1,0,3,7,0,0,0,0,0,0,3,11,0,34,2515,0,1,0,0,0,0,0,0,1,0,42,37,0,5074,1986,2013-07-08 00:00:00.0000000
32583,1,1,10,5,0,3,0,0,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,59,2173,0,0,0,1,0,0,0,0,0,1,8,7,0,8566,1961,2014-06-15 00:00:00.0000000
33569,1,0,10,16,2,18,3,0,24,1,1,1,2,8,1,0,0,0,0,0,3,11,1,37,2415,0,1,0,0,0,0,0,0,0,1,39,15,1,3885,1983,2013-10-16 00:00:00.0000000
35178,1,0,10,23,1,13,2,2,18,1,1,1,2,7,1,0,0,0,0,0,3,11,1,49,2694,0,1,0,0,0,0,0,0,1,0,41,23,1,4301,1971,2013-01-10 00:00:00.0000000
43050,1,0,10,30,5,24,6,3,8,2,2,0,4,5,0,0,0,0,0,0,3,11,0,47,2262,0,1,0,0,0,1,0,0,0,0,68,60,0,7628,1973,2014-03-18 00:00:00.0000000
45579,0,1,10,145,1,33,2,1,1,1,4,1,4,6,0,0,0,0,0,0,3,11,0,72,2472,0,1,0,0,0,0,0,0,0,1,182,181,0,5429,1948,2013-08-20 00:00:00.0000000
47320,0,1,10,200,19,111,50,15,19,6,5,1,8,6,0,0,0,0,0,0,3,11,0,63,2491,0,0,0,1,0,0,0,1,0,0,395,376,0,977,1957,2013-08-01 00:00:00.0000000
50501,1,1,10,297,0,38,13,0,152,7,5,4,4,6,1,0,0,0,0,0,3,11,1,66,2535,0,1,0,0,0,0,0,1,0,0,348,196,1,2632,1954,2013-06-18 00:00:00.0000000
51287,1,1,10,117,0,22,13,0,30,3,4,1,3,7,0,0,0,0,0,0,3,11,0,52,2248,0,1,0,0,0,0,0,1,0,0,152,122,0,8159,1968,2014-04-01 00:00:00.0000000
58917,1,2,10,151,7,89,0,7,28,5,4,1,6,5,0,0,0,0,0,0,3,11,0,51,2621,0,0,0,1,0,0,0,1,0,0,254,226,0,6404,1969,2013-03-24 00:00:00.0000000
62998,0,1,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,3,11,0,68,2431,0,1,0,0,0,0,0,1,0,0,405,347,0,8026,1952,2013-09-30 00:00:00.0000000
69109,0,0,10,823,25,459,124,29,95,1,6,6,7,4,0,0,1,0,0,0,3,11,1,38,2756,0,1,0,0,0,0,0,1,0,0,1460,1365,1,2407,1982,2012-11-09 00:00:00.0000000
69372,0,0,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,3,11,1,71,2654,0,0,0,1,0,0,0,1,0,0,1339,1297,2,10240,1949,2013-02-19 00:00:00.0000000
70179,0,1,10,532,88,168,69,44,133,3,7,3,13,5,0,0,0,0,0,0,3,11,0,44,2502,1,0,0,0,0,0,0,0,0,1,901,768,0,1071,1976,2013-07-21 00:00:00.0000000
73448,0,0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,3,11,0,51,2298,0,1,0,0,0,0,0,1,0,0,595,465,0,9597,1969,2014-02-10 00:00:00.0000000
75693,0,0,10,797,153,293,72,97,30,1,11,4,6,4,0,1,1,1,0,0,3,11,1,52,2729,1,0,0,0,0,0,0,1,0,0,1412,1382,3,7381,1968,2012-12-06 00:00:00.0000000
86429,0,0,10,464,28,873,29,18,37,0,7,4,7,2,0,0,0,1,0,0,3,11,1,59,2379,0,0,1,0,0,0,0,1,0,0,1412,1375,1,10150,1961,2013-11-21 00:00:00.0000000
22070,1,0,11,10,7,19,8,2,21,2,2,2,2,6,0,0,0,0,0,0,3,11,0,50,2427,0,0,0,1,0,0,0,1,0,0,46,25,0,4557,1970,2013-10-04 00:00:00.0000000
29435,1,1,11,70,3,37,4,2,64,4,3,2,2,9,0,0,0,0,0,0,3,11,1,54,2851,1,0,0,0,0,0,0,0,1,0,116,52,0,2715,1966,2012-08-06 00:00:00.0000000
32414,0,0,11,20,6,5,0,9,12,1,1,0,3,7,1,0,0,0,0,0,3,11,0,36,2519,0,0,0,1,0,1,0,0,0,0,40,28,1,9262,1984,2013-07-04 00:00:00.0000000
33249,1,0,11,6,10,21,19,14,42,2,2,1,3,6,0,0,0,0,0,0,3,11,0,45,2653,0,0,1,0,0,0,0,1,0,0,70,28,0,979,1975,2013-02-20 00:00:00.0000000
34026,1,1,11,18,6,15,12,8,17,3,2,1,3,5,0,0,0,0,0,0,3,11,0,70,2487,0,0,0,1,0,0,0,1,0,0,59,42,0,4186,1950,2013-08-05 00:00:00.0000000
34968,1,0,11,158,6,45,8,2,2,7,3,2,5,7,0,0,0,0,0,0,3,11,0,40,2604,0,1,0,0,0,0,0,1,0,0,219,217,0,5892,1980,2013-04-10 00:00:00.0000000
35641,1,0,11,63,3,67,8,9,28,2,3,1,4,7,0,0,0,0,0,0,3,11,1,48,2509,0,1,0,0,0,0,0,0,1,0,150,122,0,1048,1972,2013-07-14 00:00:00.0000000
36408,1,1,11,9,1,4,3,2,3,1,1,0,2,6,0,0,0,0,0,0,3,11,0,71,2440,0,1,0,0,0,0,0,0,1,0,19,16,0,1183,1949,2013-09-21 00:00:00.0000000
41003,0,0,11,123,133,142,71,44,88,1,6,2,8,6,0,0,0,0,0,0,3,11,0,57,2628,1,0,0,0,0,0,0,0,0,1,513,425,0,252,1963,2013-03-17 00:00:00.0000000
41411,0,0,11,37,32,38,11,3,18,1,2,1,4,6,0,0,0,0,0,0,3,11,0,34,2363,1,0,0,0,0,0,0,1,0,0,121,103,0,11191,1986,2013-12-07 00:00:00.0000000
42873,1,1,11,209,0,40,3,2,15,4,6,1,4,8,0,0,0,0,0,0,3,11,0,70,2683,1,0,0,0,0,0,0,0,0,1,254,239,0,7494,1950,2013-01-21 00:00:00.0000000
43795,0,1,11,314,11,53,4,3,107,3,7,3,4,7,0,1,0,0,0,0,3,11,1,52,2415,0,0,0,1,0,0,0,0,1,0,385,278,1,6720,1968,2013-10-16 00:00:00.0000000
44911,0,1,11,159,0,22,2,1,31,3,4,1,4,7,0,0,0,0,0,0,3,11,0,61,2630,0,0,0,1,0,0,0,1,0,0,184,153,0,9860,1959,2013-03-15 00:00:00.0000000
46049,1,1,11,342,9,112,19,14,19,10,5,2,9,7,0,0,0,0,0,0,3,11,1,44,2502,0,1,0,0,0,0,0,1,0,0,496,477,0,967,1976,2013-07-21 00:00:00.0000000
46097,0,1,11,72,24,68,65,4,8,5,3,1,6,4,0,0,0,0,0,0,3,11,0,64,2614,0,0,0,1,0,0,0,1,0,0,233,225,0,2677,1956,2013-03-31 00:00:00.0000000
51039,1,1,11,100,64,79,65,0,109,2,6,2,4,7,0,0,0,0,0,0,3,11,0,51,2725,0,1,0,0,0,0,0,0,0,1,308,199,0,10490,1969,2012-12-10 00:00:00.0000000
55521,1,2,11,416,0,26,0,0,4,9,6,3,6,7,0,1,0,0,0,0,3,11,1,65,2409,0,0,1,0,0,0,0,0,0,1,442,438,1,2552,1955,2013-10-22 00:00:00.0000000
56320,0,1,11,201,53,172,116,77,83,3,5,4,9,4,0,0,0,0,0,0,3,11,0,53,2606,0,1,0,0,0,0,0,0,0,1,619,536,0,8911,1967,2013-04-08 00:00:00.0000000
59821,0,1,11,629,0,70,0,0,35,6,11,2,7,8,0,0,0,0,0,0,3,11,0,65,2602,0,1,0,0,0,0,0,0,0,1,699,664,0,3427,1955,2013-04-12 00:00:00.0000000
64713,1,0,11,180,60,241,13,54,54,2,5,5,7,4,0,0,0,0,0,0,3,11,1,50,2301,1,0,0,0,0,0,0,1,0,0,548,494,0,10281,1970,2014-02-07 00:00:00.0000000
70091,1,0,11,964,34,137,15,0,11,2,5,2,10,8,0,1,0,0,0,0,3,11,0,51,2614,0,1,0,0,0,0,0,0,1,0,1150,1139,1,6606,1969,2013-03-31 00:00:00.0000000
78952,0,1,11,1170,19,594,99,76,134,2,2,5,12,6,0,0,0,0,0,0,3,11,0,62,2802,0,0,0,1,0,0,0,0,0,1,1958,1824,0,3403,1958,2012-09-24 00:00:00.0000000
80134,0,0,11,966,26,282,52,26,26,1,2,7,11,5,0,1,1,1,1,0,3,11,0,26,2294,0,0,0,1,0,0,0,1,0,0,1352,1326,4,5067,1994,2014-02-14 00:00:00.0000000
5305,0,1,12,12,4,7,1,3,5,0,1,0,0,13,0,0,0,0,0,0,3,11,0,44,2493,0,1,0,0,0,0,0,1,0,0,27,22,0,9303,1976,2013-07-30 00:00:00.0000000
15759,0,0,12,1,2,5,6,0,3,1,1,0,2,7,0,0,0,0,0,0,3,11,0,64,2456,0,1,0,0,0,0,0,1,0,0,14,11,0,4808,1956,2013-09-05 00:00:00.0000000
17459,1,0,12,6,4,16,3,10,30,3,3,1,2,7,0,0,0,0,0,0,3,11,1,45,2442,0,0,0,1,0,0,0,0,1,0,39,9,0,4992,1975,2013-09-19 00:00:00.0000000
26326,0,0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,3,11,0,44,2457,0,0,0,1,0,1,0,0,0,0,9,0,0,10401,1976,2013-09-04 00:00:00.0000000
31626,1,0,12,39,1,9,2,1,34,1,2,1,2,7,1,0,0,0,0,0,3,11,1,42,2574,0,0,1,0,0,0,0,0,0,1,52,18,1,7573,1978,2013-05-10 00:00:00.0000000
34176,1,0,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,3,11,0,32,2207,0,0,1,0,0,0,0,1,0,0,69,49,0,3312,1988,2014-05-12 00:00:00.0000000
41021,1,0,12,14,7,9,6,16,12,2,2,0,3,6,0,0,0,0,0,0,3,11,1,51,2705,0,0,0,1,0,0,0,0,1,0,52,40,0,3547,1969,2012-12-30 00:00:00.0000000
42670,0,0,12,154,2,46,20,4,15,1,4,2,4,4,0,0,0,0,0,0,3,11,0,28,2587,0,0,0,1,0,0,0,0,1,0,226,211,0,1379,1992,2013-04-27 00:00:00.0000000
62061,0,1,12,641,7,84,0,30,38,3,10,4,7,6,0,1,0,0,0,0,3,11,0,44,2461,0,0,0,1,0,0,0,1,0,0,762,724,1,7793,1976,2013-08-31 00:00:00.0000000
65968,0,1,12,376,9,83,19,4,4,2,5,4,7,3,0,0,0,0,0,0,3,11,0,50,2207,0,0,0,1,0,0,0,0,0,1,491,487,0,11176,1970,2014-05-12 00:00:00.0000000
67272,0,1,12,357,35,271,28,28,14,3,6,2,12,5,0,0,0,0,0,0,3,11,0,54,2349,1,0,0,0,0,0,0,1,0,0,719,705,0,9699,1966,2013-12-21 00:00:00.0000000
70515,0,0,12,420,0,452,182,64,140,1,6,6,4,2,0,0,0,0,0,0,3,11,1,27,2410,0,0,1,0,0,0,0,1,0,0,1118,978,0,5080,1993,2013-10-21 00:00:00.0000000
71499,0,1,12,465,25,132,136,0,37,2,8,3,13,4,0,0,0,0,0,0,3,11,0,49,2528,0,0,0,1,0,0,0,0,1,0,758,721,0,9780,1971,2013-06-25 00:00:00.0000000
75777,0,0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,3,11,1,38,2519,0,0,1,0,0,0,0,0,1,0,1358,1278,2,7366,1982,2013-07-04 00:00:00.0000000
77044,0,1,12,625,38,242,50,34,76,2,7,11,11,4,1,0,0,0,0,0,3,11,0,48,2404,0,0,0,1,0,0,0,1,0,0,989,913,1,2324,1972,2013-10-27 00:00:00.0000000
78499,0,0,12,912,72,170,47,36,97,1,11,3,4,4,0,0,1,0,0,0,3,11,1,63,2377,0,0,1,0,0,0,0,1,0,0,1237,1140,1,9790,1957,2013-11-23 00:00:00.0000000
78789,0,0,12,667,50,850,21,83,83,1,4,6,5,2,0,0,0,0,0,0,3,11,1,40,2849,1,0,0,0,0,0,0,0,1,0,1671,1588,0,1891,1980,2012-08-08 00:00:00.0000000
79456,0,0,12,565,42,548,64,83,99,1,5,6,4,3,0,0,0,0,0,0,3,11,1,64,2835,0,1,0,0,0,0,0,1,0,0,1302,1203,0,8707,1956,2012-08-22 00:00:00.0000000
79865,0,1,12,71,99,278,185,121,38,1,5,10,5,1,0,0,0,0,0,0,3,11,0,66,2170,1,0,0,0,0,0,0,1,0,0,754,716,0,4828,1954,2014-06-18 00:00:00.0000000
80336,0,0,12,209,19,456,160,142,66,1,2,9,13,1,0,0,0,0,0,0,3,11,0,50,2452,0,1,0,0,0,0,0,0,0,1,986,920,0,7849,1970,2013-09-09 00:00:00.0000000
83917,0,0,12,514,22,732,42,198,79,1,6,7,7,3,0,0,0,0,0,0,3,11,1,47,2596,0,0,1,0,0,0,0,1,0,0,1508,1429,0,8923,1973,2013-04-18 00:00:00.0000000
86424,0,0,12,387,68,569,89,45,68,1,6,9,12,1,0,0,0,0,0,0,3,11,0,64,2244,0,0,1,0,0,0,0,0,1,0,1158,1090,0,1446,1956,2014-04-05 00:00:00.0000000
15253,1,0,13,1,3,3,8,1,13,2,1,0,3,7,0,0,0,0,0,0,3,11,0,28,2403,0,0,1,0,0,0,1,0,0,0,16,3,0,7600,1992,2013-10-28 00:00:00.0000000
23539,0,0,13,4,24,11,16,1,25,1,2,0,4,6,0,0,0,0,0,0,3,11,0,63,2280,0,1,0,0,0,0,0,1,0,0,56,31,0,9727,1957,2014-02-28 00:00:00.0000000
27190,1,0,13,1,6,7,0,1,3,1,1,0,2,8,1,0,0,0,0,0,3,11,1,47,2477,0,0,0,1,0,0,1,0,0,0,15,12,1,8234,1973,2013-08-15 00:00:00.0000000
30279,1,0,13,10,4,14,4,4,1,1,1,0,3,8,0,0,0,0,0,0,3,11,0,31,2705,0,0,1,0,0,0,0,1,0,0,36,35,0,4459,1989,2012-12-30 00:00:00.0000000
31880,1,0,13,4,1,5,2,0,3,1,1,0,2,8,0,0,0,0,0,0,3,11,0,50,2765,0,0,0,0,1,0,0,1,0,0,12,9,0,9213,1970,2012-10-31 00:00:00.0000000
32557,1,0,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,3,11,1,53,2284,0,0,1,0,0,0,0,0,1,0,70,60,0,6205,1967,2014-02-24 00:00:00.0000000
35876,0,0,13,66,2,40,4,3,14,1,3,1,3,6,0,0,0,0,0,0,3,11,0,37,2229,0,1,0,0,0,0,0,0,1,0,115,101,0,9635,1983,2014-04-20 00:00:00.0000000
36145,1,0,13,56,4,76,17,1,18,4,4,1,3,9,1,0,0,0,0,0,3,11,1,35,2537,0,1,0,0,0,1,0,0,0,0,154,136,1,8779,1985,2013-06-16 00:00:00.0000000
41883,1,0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,3,11,0,32,2626,0,0,0,1,0,0,0,1,0,0,196,80,0,9701,1988,2013-03-19 00:00:00.0000000
45759,1,1,13,42,1,18,3,0,4,2,2,0,3,7,0,0,0,0,0,0,3,11,0,56,2650,0,1,0,0,0,0,0,0,0,1,64,60,0,10789,1964,2013-02-23 00:00:00.0000000
48985,0,1,13,19,13,18,10,7,8,1,1,1,3,3,0,0,0,0,0,0,3,11,0,52,2518,0,1,0,0,0,1,0,0,0,0,67,59,0,6116,1968,2013-07-05 00:00:00.0000000
50870,0,1,13,53,0,8,0,0,2,1,2,0,3,5,0,0,0,0,0,0,3,11,0,68,2169,0,1,0,0,0,0,0,0,0,1,61,59,0,6271,1952,2014-06-19 00:00:00.0000000
54198,1,1,13,185,0,28,3,2,17,6,3,1,6,4,0,0,0,0,0,0,3,11,0,54,2353,0,1,0,0,0,0,0,1,0,0,218,201,0,3050,1966,2013-12-17 00:00:00.0000000
